爱不释手	﻿愛不釋手	ài bù shì shǒu	to love sth too much to part with it (idiom); to fondle admiringly	
出类拔萃	齣類拔萃	chū lèi bá cuì	to excel the common (idiom); surpassing; preeminent; outstanding	
川流不息	川流不息	chuān liú bù xī	the stream flows without stopping (idiom); unending flow	
吹毛求疵	吹毛求疵	chuī máo qiú cī	lit. to blow apart the hairs upon a fur to discover any defect (idiom); fig. to be fastidious; nitpick	
垂涎三尺	垂涎三尺	chuí xián sān chǐ	to drool (over) (idiom); to yearn for; to covet; to crave	
唇亡齿寒	唇亡齒寒	chún wáng chǐ hán	lit. without the lips, the teeth feel the cold (idiom); fig. intimately interdependent	
从容不迫	從容不迫	cóng róng bù pò	calm; unruffled	
从善如流	從善如流	cóng shàn rú liú	readily following good advice (idiom); willing to accept other people's views	
措手不及	措手不及	cuò shǒu bù jí	no time to deal with it (idiom); caught unprepared	
打草惊蛇	打草驚蛇	dǎ cǎo jīng shé	lit. beat the grass to scare the snake; to inadvertently alert an enemy; to punish sb as a warning to others (idiom)	
大刀阔斧	大刀闊斧	dà dāo kuò fǔ	bold and decisive	
大公无私	大公無私	dà gōng wú sī	selfless; impartial	
大言不惭	大言不慚	dà yán bù cán	to boast shamelessly; to talk big	
当机立断	當機立斷	dāng jī lì duàn	to make prompt decisions (idiom)	
道听途说	道聽途說	dào tīng tú shuō	gossip; hearsay; rumor	
得寸进尺	得寸進尺	dé cùn jìn chǐ	lit. win an inch, want a foot (idiom); fig. not satisfied with small gains; give him an inch, and he'll want a mile	
得过且过	得過且過	dé guò qiě guò	satisfied just to get through (idiom); to muddle through; without high ambitions, but getting by	
得意忘形	得意忘形	dé yì wàng xíng	so pleased as to lose one's sense of measure; beside oneself with joy	
德高望重	德高望重	dé gāo wàng zhòng	a person of virtue and prestige; a person of good moral standing and reputation	
对牛弹琴	對牛彈琴	duì niú tán qín	lit. to play the lute to a cow (idiom); fig. offering a treat to an unappreciative audience; to cast pearls before swine; caviar to the general; to preach to deaf ears; to talk over sb's head	
耳濡目染	耳濡目染	ěr rú mù rǎn	to be influenced	
发扬光大	發揚光大	fā yáng guāng dà	to develop and promote; to carry forward; to bring to great height of development	
废寝忘食	廢寢忘食	fèi qǐn wàng shí	to neglect sleep and forget about food (idiom); to skip one's sleep and meals; to be completely wrapped up in one's work	
奋不顾身	奮不顧身	fèn bù gù shēn	to dash on bravely with no thought of personal safety (idiom); undaunted by dangers; regardless of perils	
风驰电掣	風馳電掣	fēng chí diàn chè	fast as lightning	
奉公守法	奉公守法	fèng gōng shǒu fǎ	to carry out official duties and observe the law	
凤毛麟角	鳳毛麟角	fèng máo lín jiǎo	lit. as rare as phoenix feathers and unicorn horns (idiom); fig. few and far between	
敷衍塞责	敷衍塞責	fū yǎn sè zé	to skimp on the job; to work half-heartedly; not to take the job seriously	
改过自新	改過自新	gǎi guò zì xīn	to reform and start afresh (idiom); to turn over a new leaf	
高瞻远瞩	高瞻遠矚	gāo zhān yuǎn zhǔ	to stand tall and see far (idiom); taking the long and broad view; acute foresight	
高枕无忧	高枕無憂	gāo zhěn wú yōu	to sleep peacefully (idiom); (fig.) to rest easy; to be free of worries	
隔岸观火	隔岸觀火	gé àn guān huǒ	to watch the fires burning across the river; to delay entering the fray until all others have been exhausted by fighting amongst themselves (idiom)	
各有千秋	各有韆鞦	gè yǒu qiān qiū	each has its own merits (idiom)	
根深蒂固	根深蒂固	gēn shēn dì gù	deep-rooted (problem etc)	
功亏一篑	功虧一簣	gōng kuī yī kuì	lit. to ruin the enterprise for the sake of one basketful; to fail through lack of a final effort; to spoil the ship for a ha'penny worth of tar (idiom)	
勾心斗角	勾心鬥角	gōu xīn dòu jiǎo	to fight and scheme against each other (idiom); (in palace construction) elaborate and refined	
苟且偷安	苟且偷安	gǒu qiě tōu ān	seeking only ease and comfort (idiom); making no attempt to improve oneself; taking things easily without attending to responsibilities	
孤陋寡闻	孤陋寡聞	gū lòu guǎ wén	ignorant and inexperienced; ill-informed and narrow-minded	
孤掌难鸣	孤掌難鳴	gū zhǎng nán míng	It's hard to clap with only one hand.; It takes two to tango; It's difficult to achieve anything without support.	
孤注一掷	孤注一擲	gū zhù yī zhì	to stake all on one throw	
沽名钓誉	沽名釣譽	gū míng diào yù	to angle for fame (idiom); to fish for compliments	
古色古香	古色古香	gǔ sè gǔ xiāng	interesting and appealing (of old locations, objects etc)	
拐弯抹角	拐彎抹角	guǎi wān mò jiǎo	lit. going round the curves and skirting the corners (idiom); fig. to speak in a roundabout way; to equivocate; to beat about the bush	
光明正大	光明正大	guāng míng zhèng dà	(of a person) honorable; not devious; (of a behavior) fair and aboveboard; without tricks; openly; (of a situation) out in the open	
光明磊落	光明磊落	guāng míng lěi luò	open and candid (idiom); straightforward and upright	
海底捞针	海底撈針	hǎi dǐ lāo zhēn	look for a needle in the ocean, see 大海捞针	
含辛茹苦	含辛茹苦	hán xīn rú kǔ	to suffer every possible torment (idiom); bitter hardship; to bear one's cross	
好高骛远	好高騖遠	hào gāo wù yuǎn	to bite off more than one can chew (idiom); to aim too high	
好逸恶劳	好逸惡勞	hào yì wù láo	to love ease and comfort and hate work (idiom)	
和睦共处	和睦共處	hémùgòngchù	Together in harmony	
狐假虎威	狐假虎威	hú jiǎ hǔ wēi	lit. the fox exploits the tiger's might (idiom); fig. to use powerful connections to intimidate people	
胡思乱想	鬍思亂想	hú sī luàn xiǎng	to indulge in flights of fancy (idiom); to let one's imagination run wild	
胡作非为	鬍作非為	hú zuò fēi wéi	to run amok (idiom); to commit outrages	
花言巧语	花言巧語	huā yán qiǎo yǔ	graceful words, flowery speech (idiom); elegant but insincere words; cheating wheedling; dishonest rhetoric	
画龙点睛	畫龍點睛	huà lóng diǎn jīng	to paint a dragon and dot in the eyes (idiom); fig. to add the vital finishing touch; the crucial point that brings the subject to life; a few words to clinch the point	
画蛇添足	畫蛇添足	huà shé tiān zú	lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it	
挥金如土	揮金如土	huī jīn rú tǔ	lit. to squander money like dirt (idiom); fig. to spend money like water; extravagant	
混水摸鱼	混水摸魚	hún shuǐ mō yú	to fish in troubled water (idiom); to take advantage of a crisis for personal gain; also written 浑水摸鱼	
鸡犬不宁	雞犬不寜	jī quǎn bù níng	lit. not even the chickens and dogs are left undisturbed (idiom); fig. great commotion; pandemonium	
集思广益	集思廣益	jí sī guǎng yì	collecting opinions is of wide benefit (idiom); to pool wisdom for mutual benefit; to profit from widespread suggestions	
家喻户晓	傢喻戶曉	jiā yù hù xiǎo	understood by everyone (idiom); well known; a household name	
假公济私	假公濟私	jiǎ gōng jì sī	official authority used for private interests (idiom); to attain private ends by abusing public position	
见利忘义	見利忘義	jiàn lì wàng yì	to see profit and forget morality (idiom); to act from mercenary considerations; to sell one's soul for gain	
见异思迁	見異思遷	jiàn yì sī qiān	to change at once on seeing sth different (idiom); loving fads and novelty; never satisfied with what one has	
见义勇为	見義勇為	jiàn yì yǒng wéi	to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause	
捷足先登	捷足先登	jié zú xiān dēng	the quick-footed climb up first (idiom); the early bird catches the worm; first come, first served	
津津有味	津津有味	jīn jīn yǒu wèi	with keen interest pleasure (idiom); with gusto; to relish; eagerly; with great interest	
进退两难	進退兩難	jìn tuì liǎng nán	no room to advance or to retreat (idiom); without any way out of a dilemma; trapped; in an impossible situation	
进退维谷	進退維榖	jìn tuì wéi gǔ	no room to advance or to retreat (idiom); without any way out of a dilemma; trapped; in an impossible situation	
精益求精	精益求精	jīng yì qiú jīng	to perfect sth that is already outstanding (idiom); constantly improving	
居安思危	居安思危	jū ān sī wēi	to think of danger in times of safety; to be vigilant in peacetime (idiom)	
井井有条	井井有條	jǐng jǐng yǒu tiáo	everything clear and orderly (idiom); neat and tidy	
鞠躬尽瘁	鞠躬盡瘁	jū gōng jìn cuì	to bend to a task and spare no effort (idiom); striving to the utmost	
举一反三	舉一反三	jǔ yī fǎn sān	to raise one and infer three; to deduce many things from one case (idiom)	
举足轻重	舉足輕重	jǔ zú qīng zhòng	to play a critical role (idiom); influential	
开门见山	開門見山	kāi mén jiàn shān	lit. to open the door and see the mountain; fig. to get right to the point (idiom)	
开源节流	開源節流	kāi yuán jié liú	lit. to open a water source and reduce outflow (idiom); to increase income and save on spending; to broaden the sources of income and economize on expenditure	
慷慨解囊	慷慨解囊	kāng kǎi jiě náng	to contribute generously (idiom); help sb generously with money; to give generously to charity	
刻苦耐劳	刻苦耐勞	kè kǔ nài láo	to bear hardships and work hard (idiom); assiduous and long-suffering; hard-working and capable of overcoming adversity	
口是心非	口是心非	kǒu shì xīn fēi	duplicity; hypocrisy (idiom)	
苦口婆心	苦口婆心	kǔ kǒu pó xīn	earnest and well-meaning advice (idiom); to persuade patiently	
脍炙人口	膾炙人口	kuài zhì rén kǒu	appealing to the masses; universally appreciated (idiom)	
滥竽充数	濫竽充數	làn yú chōng shù	lit. to play the yu 竽 mouth organ to make up numbers (idiom); fig. to make up the numbers with inferior products; to masquerade as having an ability; token member of a group	
老马识途	老馬識途	lǎo mǎ shí tú	an old horse knows the way (idiom); an experienced worker knows what to do; an old hand knows the ropes	
理直气壮	理直氣壯	lǐ zhí qì zhuàng	in the right and self-confident (idiom); bold and confident with justice on one's side; to have the courage of one's convictions; just and forceful	
力不从心	力不從心	lì bù cóng xīn	less capable than desirable (idiom); not as strong as one would wish; the spirit is willing but the flesh is weak	
励精图治	勵精圖治	lì jīng tú zhì	use all efforts to make the country prosperous; hard work	
了如指掌	瞭如指掌	liǎo rú zhǐ zhǎng	to know sth like the back of one's hand (idiom); to know (a person, a place etc) inside out	
临渴掘井	臨渴掘井	lín kě jué jǐng	lit. not to dig a well until one is thirsty; to be unprepared and seek help at the last minute (idiom)	
流离失所	流離失所	liú lí shī suǒ	destitute and homeless (idiom); forced from one's home and wandering about; displaced	
路不拾遗	路不拾遺	lù bù shí yí	lit. no one picks up lost articles in the street (idiom); fig. honesty prevails throughout society	
落花流水	落花流水	luò huā liú shuǐ	to be in a sorry state; to be utterly defeated	
络绎不绝	絡繹不絕	luò yì bù jué	continuously; in an endless stream (idiom)	
满载而归	滿載而歸	mǎn zài ér guī	to return from a rewarding journey	
慢条斯理	慢條斯理	màn tiáo sī lǐ	unhurried; calm; composed; leisurely	
毛遂自荐	毛遂自薦	máo suì zì jiàn	Mao Sui recommends himself (idiom); to offer one's services (in the style of Mao Sui offering his services to king of Chu 楚 of the Warring states)	
每况愈下	每況愈下	měi kuàng yù xià	to steadily deteriorate	
每下愈况	每下愈況	měi xià yù kuàng	go down the drain; steadily deteriorate; see 每况愈下	
面目全非	麵目全非	miàn mù quán fēi	nothing remains the same (idiom); change beyond recognition	
明目张胆	明目張膽	míng mù zhāng dǎn	openly and without fear; brazenly	
明哲保身	明哲保身	míng zhé bǎo shēn	a wise man looks after his own hide (idiom); to put one's own safety before matters of principle	
明知故犯	明知故犯	míng zhī gù fàn	deliberate violation (idiom); intentional crime	
墨守成规	墨守成規	mò shǒu chéng guī	hidebound by convention (idiom)	
目中无人	目中無人	mù zhōng wú rén	to consider everyone else beneath one (idiom); so arrogant that no-one else matters; condescending; to go about with one's nose in the air	
弄巧反拙	弄巧反拙	nòng qiǎo fǎn zhuō	to overreach oneself / to try to be clever and end up with egg on one's face; to backfire; see 弄巧成拙	
破釜沉舟	破釜沉舟	pò fǔ chén zhōu	lit. to break the cauldrons and sink the boats (idiom); fig. to cut off one's means of retreat; to burn one's boats	
普天同庆	普天同慶	pǔ tiān tóng qìng	everybody celebrating together; universal celebration; universal rejoicing	
杞人忧天	杞人憂天	qǐ rén yōu tiān	man of Qǐ fears the sky falling (idiom); groundless fears	
千钧一发	韆鈞一發	qiān jūn yī fà	a thousand pounds hangs by a thread (idiom); imminent peril; a matter of life or death	
千篇一律	韆篇一律	qiān piān yī lǜ	thousand articles, same rule (idiom); stereotyped and repetitive; once you've seen one, you've seen them all	
千载难逢	韆載難逢	qiān zǎi nán féng	extremely rare (idiom); once in a blue moon	
前车之鑑	前車之鑑	qián chē zhī jiàn	lessons from the past; lessons drawn from others' mistakes	
潜移默化	潛移默化	qián yí mò huà	imperceptible influence; to influence secretly	
强词夺理	強詞奪理	qiǎng cí duó lǐ	to twist words and force logic (idiom); sophistry; loud rhetoric making up for fallacious argument; shoving false arguments down people's throats	
青出于蓝	青齣於藍	qīng chū yú lán	the students surpass the teacher	
倾家荡产	傾傢蕩産	qīng jiā dàng chǎn	to lose a family fortune (idiom)	
情同手足	情同手足	qíng tóng shǒu zú	as close as one's hands and feet (idiom); loving one another as brothers; deep friendship; closely attached to one another	
人浮于事	人浮於事	rén fú yú shì	more hands than needed (idiom); too many cooks spoil the broth	
人云亦云	人雲亦雲	rén yún yì yún	to say what everyone says (idiom); to conform to what one perceives to be the majority view; to follow the herd	
任劳任怨	任勞任怨	rèn láo rèn yuàn	to work hard without complaint (idiom)	
荣华富贵	榮華富貴	róng huá fù guì	glory, splendor, wealth and rank (idiom); high position and great wealth	
富贵荣华	富貴榮華	fù guì róng huá	riches and honour; luxurious	
如火如荼	如火如荼	rú huǒ rú tú	like wildfire (idiom); unstoppable	
如释重负	如釋重負	rú shì zhòng fù	as if relieved from a burden (idiom); to have a weight off one's mind	
三思而行	三思而行	sān sī ér xíng	think three times then go (idiom); don't act before you've thought it through carefully	
僧多粥少	僧多粥少	sēng duō zhōu shǎo	lit. many monks and not much gruel (idiom); fig. not enough to go around; demand exceeds supply	
杀鸡取卵	殺雞取卵	shā jī qǔ luǎn	lit. to kill the chicken to get the eggs (idiom); fig. to kill the goose that lays the golden eggs	
舍己为人	捨己為人	shě jǐ wèi rén	to abandon self for others (idiom, from Analects); to sacrifice one's own interest for other people; altruism	
事半功倍	事半功倍	shì bàn gōng bèi	half the work, twice the effect (idiom); the right approach saves effort and leads to better results; a stitch in time saves nine	
事倍功半	事倍功半	shì bèi gōng bàn	twice the effort for half the result	
视死如归	視死如歸	shì sǐ rú guī	to view death as a return home; to not be afraid of dying; to face death with equanimity (idiom)	
手不释卷	手不釋捲	shǒu bù shì juàn	lit. always with a book in hand (idiom); fig. (of a student or scholar) diligent and hardworking	
守口如瓶	守口如瓶	shǒu kǒu rú píng	lit. to guard one's mouth like a closed bottle (idiom); tight-lipped; reticent; not breathing a word	
守望相助	守望相助	shǒu wàng xiāng zhù	to keep watch and defend one another (idiom, from Mencius); to join forces to defend against external aggressors; mutual help and protection	
守株待兔	守株待兔	shǒu zhū dài tù	lit. to guard a tree-stump, waiting for rabbits (idiom); to wait idly for opportunities; to trust to chance rather than show initiative	
熟能生巧	熟能生巧	shú néng shēng qiǎo	with familiarity you learn the trick (idiom); practice makes perfect	
束手无策	束手無策	shù shǒu wú cè	lit. to have one's hands bound and be unable to do anything about it (idiom); fig. helpless in the face of a crisis	
水到渠成	水到渠成	shuǐ dào qú chéng	lit. where water flows, a canal is formed (idiom); fig. when conditions are right, success will follow naturally	
水落石出	水落石齣	shuǐ luò shí chū	as the water recedes, the rocks appear (idiom); the truth comes to light	
顺手牵羊	順手牽羊	shùn shǒu qiān yáng	lit. to lead away a goat in passing (idiom); to steal sth under cover of an emergency; to take advantage of a crisis for personal gain	
司空见惯	司空見慣	sī kōng jiàn guàn	a common occurrence (idiom)	
似是而非	似是而非	sì shì ér fēi	apparently right but actually wrong; specious (idiom)	
随遇而安	隨遇而安	suí yù ér ān	at home wherever one is (idiom); ready to adapt; flexible; to accept circumstances with good will	
滔滔不绝	滔滔不絕	tāo tāo bù jué	unceasing torrent (idiom); talking non-stop; gabbling forty to the dozen	
口若悬河	口若懸河	kǒu ruò xuán hé	mouth like a torrent (idiom); eloquent; glib; voluble; have the gift of the gab	
提心吊胆	提心吊膽	tí xīn diào dǎn	(saying) to be very scared and on edge	
挑拨离间	挑撥離間	tiǎo bō lí jiàn	to sow dissension (idiom); to drive a wedge between	
铤而走险	鋌而走險	tǐng ér zǒu xiǎn	to take a risk out of desperation (idiom)	
同甘共苦	同甘共苦	tóng gān gòng kǔ	shared delights and common hardships (idiom); to share life's joys and sorrows; for better or for worse	
同归于尽	同歸於盡	tóng guī yú jìn	to die in such a way that sb (or sth) else also perishes; to take sb down with oneself; to end in mutual destruction	
同流合污	同流閤汙	tóng liú hé wū	to wallow in the mire with sb (idiom); to follow the bad example of others	
同舟共济	同舟共濟	tóng zhōu gòng jì	cross a river in the same boat (idiom); fig. having common interests; obliged to collaborate towards common goals	
投机取巧	投機取巧	tóu jī qǔ qiǎo	to seize every opportunity; to be full of tricks	
徒劳无功	徒勞無功	tú láo wú gōng	to work to no avail (idiom)	
推陈出新	推陳齣新	tuī chén chū xīn	to push out the old and bring in the new (idiom); to innovate	
望尘莫及	望塵莫及	wàng chén mò jí	lit. to see only the other rider's dust and have no hope of catching up (idiom); to be far inferior	
忘恩负义	忘恩負義	wàng ēn fù yì	to forget favors and violate justice (idiom); ingratitude to a friend; to kick a benefactor in the teeth	
为非作歹	為非作歹	wéi fēi zuò dǎi	to break the law and commit crimes (idiom); malefactor; evildoer; to perpetrate outrages	
未雨绸缪	未雨綢繆	wèi yǔ chóu móu	lit. before it rains, bind around with silk (idiom, from Book of Songs 诗经 ); fig. to plan ahead; to prepare for a rainy day	
温故知新	溫故知新	wēn gù zhī xīn	to review the old and know the new (idiom, from the Analects); to recall the past to understand the future	
无病呻吟	無病呻吟	wú bìng shēn yín	to moan about imaginary illness; fussing like a hypochondriac; fig. sentimental nonsense	
无动于衷	無動於衷	wú dòng yú zhōng	aloof; indifferent; unconcerned	
无微不至	無微不至	wú wēi bù zhì	in every possible way (idiom); meticulous	
五体投地	五體投地	wǔ tǐ tóu dì	to prostrate oneself in admiration (idiom); to adulate sb	
息事宁人	息事寜人	xī shì níng rén	to keep the peace; to patch up a quarrel (idiom)	
相安无事	相安無事	xiāng ān wú shì	to live together in harmony	
相辅相成	相輔相成	xiāng fǔ xiāng chéng	to complement one another (idiom)	
心灰意懒	心灰意懶	xīn huī yì lǎn	discouraged; downhearted	
心旷神怡	心曠神怡	xīn kuàng shén yí	lit. heart untroubled, spirit pleased (idiom); carefree and relaxed	
欣欣向荣	欣欣嚮榮	xīn xīn xiàng róng	(idiom) flourishing; thriving	
信口开河	信口開河	xìn kǒu kāi hé	to speak without thinking (idiom); to blurt sth out	
信口雌黄	信口雌黃	xìn kǒu cí huáng	to speak off the cuff; to casually opine	
兴高采烈	興高采烈	xìng gāo cǎi liè	happy and excited (idiom); in high spirits; in great delight	
胸有成竹	胸有成竹	xiōng yǒu chéng zhú	to plan in advance (idiom); a card up one's sleeve; forewarned is forearmed	
袖手旁观	袖手旁觀	xiù shǒu páng guān	to watch with folded arms (idiom); to look on without lifting a finger	
栩栩如生	栩栩如生	xǔ xǔ rú shēng	vivid and lifelike (idiom); true to life; realistic	
悬崖勒马	懸崖勒馬	xuán yá lè mǎ	lit. to rein in the horse at the edge of the precipice (idiom); fig. to act in the nick of time	
削足适履	削足適履	xuē zú shì lǚ	to cut the feet to fit the shoes (idiom); to force sth to fit (as to a Procrustean bed); impractical or inelegant solution	
寻根究底	尋根究底	xún gēn jiū dǐ	to get to the bottom of things; to inquire deeply into (idiom)	
循循善诱	循循善誘	xún xún shàn yòu	to guide patiently and systematically (idiom)	
鸦雀无声	鴉雀無聲	yā què wú shēng	lit. crow and peacock make no sound; absolute silence (idiom); not a single voice can be heard; absolute silence	
雅俗共赏	雅俗共賞	yǎ sú gòng shǎng	can be enjoyed by scholars and lay-people alike (idiom)	
言行一致	言行一緻	yán xíng yī zhì	(idiom) one's actions are in keeping with what one says	
养尊处优	養尊處優	yǎng zūn chǔ yōu	to live like a prince (idiom)	
摇摇欲坠	搖搖欲墜	yáo yáo yù zhuì	tottering; on the verge of collapse	
一败涂地	一敗塗地	yī bài tú dì	failed and wiped over the floor (idiom); to fail utterly; a crushing defeat; beaten and in a hopeless position	
一帆风顺	一帆風順	yī fān fēng shùn	propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!	
一见如故	一見如故	yī jiàn rú gù	familiarity at first sight	
一举两得	一舉兩得	yī jǔ liǎng dé	one move, two gains (idiom); two birds with one stone	
一箭双鵰	一箭雙鵰	yī jiàn shuāng diāo	kill two birds with one stone	
一蹶不振	一蹶不振	yī jué bù zhèn	one stumble, unable to rise (idiom); a setback leading to total collapse; ruined at a stroke; unable to recover after a minor hitch	
一劳永逸	一勞永逸	yī láo yǒng yì	to get sth done once and for all	
一落千丈	一落韆丈	yī luò qiān zhàng	lit. to drop a thousand zhang in one fall (idiom); fig. (of business, popularity etc) to suffer a sudden, devastating decline; to take a dive	
一毛不拔	一毛不拔	yī máo bù bá	stingy (idiom)	
一目了然	一目瞭然	yī mù liǎo rán	obvious at a glance (idiom); obvious at a glance (idiom)	
一暴十寒	一暴十寒	yī pù shí hán	one day's sun, ten days' frost (idiom, from Mencius); fig. to work for a bit then skimp; sporadic effort; short attention span	
一视同仁	一視同仁	yī shì tóng rén	to treat everyone equally favorably (idiom); not to discriminate between people	
一事无成	一事無成	yī shì wú chéng	to have achieved nothing; to be a total failure; to get nowhere	
一网打尽	一網打盡	yī wǎng dǎ jìn	lit. to catch everything in the one net (idiom); fig. to scoop up the whole lot; to capture them all in one go	
一意孤行	一意孤行	yī yì gū xíng	obstinately clinging to one's course (idiom); willful; one's own way; dogmatic	
一针见血	一針見血	yī zhēn jiàn xiě	lit. to draw blood on the first prick (idiom); fig. to hit the nail on the head	
一知半解	一知半解	yī zhī bàn jiě	lit. to know one and understand half (idiom); a smattering of knowledge; dilettante; amateur	
以卵击石	以卵擊石	yǐ luǎn jī shí	lit. to strike a stone with egg (idiom); to attempt the impossible; to invite disaster by overreaching oneself	
以身作则	以身作則	yǐ shēn zuò zé	to set an example (idiom); to serve as a model	
以牙还牙	以牙還牙	yǐ yá huán yá	a tooth for a tooth (retaliation)	
易如反掌	易如反掌	yì rú fǎn zhǎng	easy as a hand's turn (idiom); very easy; no effort at all	
异想天开	異想天開	yì xiǎng tiān kāi	to imagine the wildest thing; to indulge in fantasy	
饮水思源	飲水思源	yǐn shuǐ sī yuán	lit. when you drink water, think of its source (idiom); gratitude for blessings and their well-spring; Don't forget where your happiness come from.; Be grateful for all your blessings!	
迎刃而解	迎刃而解	yíng rèn ér jiě	lit. (bamboo) splits when it meets the knife's edge (idiom); fig. easily solved	
应接不暇	應接不暇	yìng jiē bù xiá	more than one can attend to (idiom); deluged (with inquiries etc); overwhelmed (by the beauty of the scenery)	
优柔寡断	優柔寡斷	yōu róu guǎ duàn	indecisive; irresolute	
游手好闲	遊手好閑	yóu shǒu hào xián	to idle about	
有目共睹	有目共睹	yǒu mù gòng dǔ	anyone with eyes can see it (idiom); obvious to all; sth speaks for itself; is there for all to see	
有勇无谋	有勇無謀	yǒu yǒng wú móu	bold but not very astute (idiom)	
与日俱增	與日俱增	yǔ rì jù zēng	to increase steadily; to grow with each passing day	
再接再厉	再接再厲	zài jiē zài lì	to continue the struggle (idiom); to persist; unremitting efforts	
真知灼见	真知灼見	zhēn zhī zhuó jiàn	penetrating insight	
蒸蒸日上	蒸蒸日上	zhēng zhēng rì shàng	becoming more prosperous with each passing day	
执迷不悟	執迷不悟	zhí mí bù wù	to obstinately persist in going about things the wrong way (idiom)	
趾高气扬	趾高氣揚	zhǐ gāo qì yáng	high and mighty (idiom); arrogant	
纸上谈兵	紙上談兵	zhǐ shàng tán bīng	lit. military tactics on paper (idiom); fig. theoretical discussion that is worse than useless in practice; armchair strategist; idle theorizing; cf Zhao Kuo 赵括 leading an army of 400,000 to total annihilation at battle of Changping 长平之战 in 260 BC	
志同道合	誌同道閤	zhì tóng dào hé	like-minded (idiom); fellow enthusiast; kindred spirit	
置之不理	置之不理	zhì zhī bù lǐ	to pay no heed to (idiom); to ignore; to brush aside	
忠言逆耳	忠言逆耳	zhōng yán nì ěr	loyal advice jars on the ears (idiom)	
装聋作哑	裝聾作啞	zhuāng lóng zuò yǎ	to play deaf-mute	
自暴自弃	自暴自棄	zì bào zì qì	to abandon oneself to despair; to give up and stop bothering	
自力更生	自力更生	zì lì gēng shēng	regeneration through one's own effort (idiom); self-reliance	
自投罗网	自投羅網	zì tóu luó wǎng	to walk right into the trap	
自相矛盾	自相矛盾	zì xiāng máo dùn	to contradict oneself; self-contradictory; inconsistent	
坐井观天	坐井觀天	zuò jǐng guān tiān	lit. to view the sky from the bottom of a well (idiom); ignorant and narrow-minded	
坐享其成	坐享其成	zuò xiǎng qí chéng	to reap where one has not sown (idiom)	
